Calories,Duration
92.0,20.0
103.0,20.0
8.0,5.0
124.0,20.0
155.0,23.0
217.0,29.0
23.0,7.0
151.0,26.0
4.0,1.0
78.0,16.0
69.0,12.0
125.0,21.0
66.0,12.0
170.0,26.0
101.0,21.0
9.0,2.0
144.0,24.0
34.0,8.0
111.0,18.0
73.0,14.0
84.0,19.0
26.0,6.0
289.0,30.0
35.0,10.0
105.0,19.0
145.0,24.0
6.0,2.0
44.0,8.0
22.0,5.0
103.0,21.0
195.0,27.0
36.0,10.0
13.0,4.0
192.0,24.0
106.0,18.0
86.0,21.0
9.0,2.0
138.0,26.0
112.0,20.0
55.0,14.0
123.0,18.0
170.0,26.0
61.0,13.0
12.0,3.0
84.0,20.0
143.0,27.0
179.0,27.0
36.0,9.0
141.0,22.0
64.0,14.0
