model,year,price
iPhone 13,2021,34.699
iPhone 11,2019,18.916
iPhone 12 Pro Max,2020,38.999
iPhone 13 Pro Max,2021,51.071
iPhone 14 Pro,2022,57.695
iPhone 7,2016,4.703
iPhone 7 Plus,2016,6.269
iPhone 8,2017,7.583
iPhone 8 Plus,2017,10.164
iPhone Xr,2018,15.674
iPhone 12 Pro,2020,31.775
iPhone 12 Pro,2020,33.914
iPhone 14 Pro,2022,42.274
iPhone 13 Pro,2021,48.999
iPhone 15,2023,50.918
iPhone 15 Plus,2023,55.910
iPhone 14 Pro,2022,57.664
iPhone 14 Pro Max,2022,66.499
iPhone 14 Pro,2022,51.000
iPhone 13,2021,34.199
iPhone 12,2020,25.999
iPhone 11,2019,19.399
iPhone 8,2017,9.745
